# Simulated responsive stimulation-triggering policy — not evidence of therapeutic efficacy.
Model,Rank,Feature,ImportanceScore
logistic_regression,1,bp_theta,0.30704868479121206
logistic_regression,2,variance,0.23509755217845354
logistic_regression,3,hjorth_activity,0.23509755217845354
logistic_regression,4,line_length,0.15433593090487555
logistic_regression,5,kurtosis,0.11814331682750563
logistic_regression,6,hjorth_complexity,0.0782828918382621
logistic_regression,7,rel_bp_theta,0.04546593217891679
logistic_regression,8,rms_amplitude,0.024113493449767216
logistic_regression,9,rel_bp_gamma,0.016443433348697054
logistic_regression,10,hjorth_mobility,0.013559755135698771
random_forest,1,rel_bp_beta,0.06431876378306957
random_forest,2,bp_theta,0.06108614134060472
random_forest,3,rel_bp_theta,0.05855962014221401
random_forest,4,rms_amplitude,0.056298181603946576
random_forest,5,hjorth_complexity,0.05557377532212273
random_forest,6,kurtosis,0.05521557066714964
random_forest,7,skewness,0.05507703324697573
random_forest,8,rel_bp_gamma,0.05492232519790655
random_forest,9,bp_gamma,0.052781536178215196
random_forest,10,hjorth_activity,0.05026760467535584
lightgbm,1,skewness,228.0
lightgbm,2,kurtosis,207.0
lightgbm,3,rel_bp_beta,197.0
lightgbm,4,zero_crossing_rate,192.0
lightgbm,5,hjorth_complexity,188.0
lightgbm,6,bp_delta,186.0
lightgbm,7,bp_theta,177.0
lightgbm,8,hjorth_mobility,171.0
lightgbm,9,line_length,169.0
lightgbm,10,bp_beta,167.0
ebm,1,rel_bp_theta,0.07433845319155097
ebm,2,line_length,0.06931365180126527
ebm,3,kurtosis,0.06677616687287741
ebm,4,bp_gamma,0.0641428904387827
ebm,5,rel_bp_beta,0.06346779056532587
ebm,6,rel_bp_gamma,0.06009347217798421
ebm,7,rel_bp_alpha,0.0584999263413143
ebm,8,hjorth_activity,0.05324952216629957
ebm,9,variance,0.052211977011593504
ebm,10,rms_amplitude,0.05026719336819027
