exposure,lag_s,n_subjects,mean_true_mean,mean_true_sd,mean_true_ci_low,mean_true_ci_high,mean_true_n,mean_false_mean,mean_false_sd,mean_false_ci_low,mean_false_ci_high,mean_false_n,difference_mean,difference_sd,difference_ci_low,difference_ci_high,difference_n,score_stratified_difference_mean,score_stratified_difference_sd,score_stratified_difference_ci_low,score_stratified_difference_ci_high,score_stratified_difference_n
original,2,5,0.6581852561771234,0.04776967386732086,0.6218715305720932,0.694844589323927,5,0.5690617186727966,0.05048610650480319,0.5348512805854042,0.6131088618463497,5,0.08912353750432675,0.039964541633955825,0.0595827312553042,0.122446852571015,5,0.07287875829608839,0.027914100971193904,0.05347726857465144,0.0976481126453562,5
original,4,5,0.5814251484403877,0.04688434255366405,0.543052971423524,0.6168930866561344,5,0.4769679746716834,0.05147384255580972,0.4428467202683962,0.5227595443909299,5,0.10445717376870425,0.05063619979553911,0.06620325180619886,0.1443410335454389,5,0.1011371820051808,0.03992239318063482,0.07064327173477394,0.1308870793869447,5
original,6,5,0.544033122731977,0.042048178767797394,0.5099625140404795,0.5743433237057293,5,0.4577261852202096,0.05208817340385425,0.42288758247642394,0.5031130250057593,5,0.08630693751176736,0.04795695543161311,0.05143002391288974,0.12791149964910015,5,0.09227369232545207,0.039557820070642055,0.06476943888624435,0.12607240501872424,5
original,10,5,0.5111341265369952,0.04351479060138655,0.4751862486142081,0.5420772670237042,5,0.4452966779120615,0.04829751688244568,0.41495693869990724,0.48857645281702916,5,0.06583744862493371,0.04536754262472627,0.031841357175744364,0.10333625400641044,5,0.07640040652291018,0.04012473562816099,0.045443446184123666,0.1073573668616967,5
original,20,5,0.47318118259777603,0.0424932262306729,0.4369916297695126,0.5008296433686953,5,0.4307663622153798,0.04549823882827209,0.40134957783728664,0.47082464182381517,5,0.04241482038239626,0.04209114274553759,0.009813020151221302,0.07501662061357121,5,0.05954154950549836,0.043235587218615194,0.02514554527083986,0.09393755374015686,5
additional,2,5,,,,,0,0.585936911905981,0.021862815962758304,0.5693321711689514,0.6052376797435353,5,,,,,0,,,,,0
additional,4,5,,,,,0,0.4948467580337465,0.023079144620018976,0.47779088256679464,0.5148691769633,5,,,,,0,,,,,0
additional,6,5,,,,,0,0.47570656411308426,0.025150301537283978,0.45860378930219825,0.4971090500279292,5,,,,,0,,,,,0
additional,10,5,,,,,0,0.4629706678088225,0.02586588057868942,0.44494970139731144,0.4857978248198159,5,,,,,0,,,,,0
additional,20,5,,,,,0,0.4479721679622779,0.02816195991934362,0.42704300370580583,0.4710236388232114,5,,,,,0,,,,,0
combined,2,5,0.6581852561771234,0.04776967386732086,0.6218715305720932,0.694844589323927,5,0.5805353624232639,0.02161684339145373,0.5630910380155193,0.5968485479471585,5,0.07764989375385951,0.03857912992609003,0.04841249503284646,0.10802701867729547,5,0.06637773162159444,0.034039728377424694,0.04150255876420162,0.09540428915245783,5
combined,4,5,0.5814251484403877,0.04688434255366405,0.543052971423524,0.6168930866561344,5,0.488119793043677,0.02141392323295966,0.471468516230943,0.504771069856411,5,0.09330535539671063,0.038143954438661185,0.06355386902779916,0.12305684176562212,5,0.09418873561500221,0.0410385721573372,0.06308851339399509,0.12706492657683208,5
combined,6,5,0.544033122731977,0.042048178767797394,0.5099625140404795,0.5743433237057293,5,0.46885845365810735,0.02362954148867363,0.4501856918272509,0.487531215488964,5,0.07517466907386952,0.035451862010751435,0.050791809145601566,0.10506251212788804,5,0.08074644753676746,0.043732454129915395,0.048830872007112856,0.11838521023843425,5
combined,10,5,0.5111341265369952,0.04351479060138655,0.4751862486142081,0.5420772670237042,5,0.4560909169478732,0.02029037744817502,0.4405243682096976,0.4716574656860487,5,0.05504320958912201,0.03511386920796224,0.02834902365207706,0.0840698387517352,5,0.0658467856870369,0.04799417132463372,0.02882300594159448,0.10287056543247933,5
combined,20,5,0.47318118259777603,0.0424932262306729,0.4369916297695126,0.5008296433686953,5,0.44063548672799413,0.018191735071250766,0.4263900722019344,0.4548809012540539,5,0.032545695869781906,0.030701745558261242,0.005564960781472483,0.0528999554058119,5,0.049952631789857226,0.04779187417965076,0.014036551617885662,0.08683918409465866,5
