fold,exposure,method,bin,n,mean_probability,observed_fraction
loso_chb01,original,raw,1,4337,0.06217290158210685,0.03343324878948582
loso_chb01,original,raw,2,7748,0.1493000085418081,0.03962312854930305
loso_chb01,original,raw,3,6269,0.24838224042597223,0.036369436911788164
loso_chb01,original,raw,4,5372,0.34925681584910234,0.02866716306775875
loso_chb01,original,raw,5,4339,0.44612293478095816,0.03295690251209956
loso_chb01,original,raw,6,2651,0.5450204524509487,0.031308940022632965
loso_chb01,original,raw,7,1346,0.6434669749574905,0.03863298662704309
loso_chb01,original,raw,8,681,0.7464607199417166,0.0763582966226138
loso_chb01,original,raw,9,526,0.8442060496360391,0.08935361216730038
loso_chb01,original,raw,10,104,0.935771210580765,0.625
loso_chb01,original,sigmoid,1,33321,0.034048109263183524,0.03688364694937127
loso_chb01,original,sigmoid,2,52,0.12581535748195133,0.9038461538461539
loso_chb01,original,sigmoid,3,0,,
loso_chb01,original,sigmoid,4,0,,
loso_chb01,original,sigmoid,5,0,,
loso_chb01,original,sigmoid,6,0,,
loso_chb01,original,sigmoid,7,0,,
loso_chb01,original,sigmoid,8,0,,
loso_chb01,original,sigmoid,9,0,,
loso_chb01,original,sigmoid,10,0,,
loso_chb01,original,isotonic,1,33308,0.03283562797033641,0.03674792842560346
loso_chb01,original,isotonic,2,24,0.10853960396039604,0.5
loso_chb01,original,isotonic,3,2,0.21308978413944102,0.5
loso_chb01,original,isotonic,4,0,,
loso_chb01,original,isotonic,5,4,0.4444444444444444,1.0
loso_chb01,original,isotonic,6,4,0.5384615384615384,1.0
loso_chb01,original,isotonic,7,6,0.6666666666666666,1.0
loso_chb01,original,isotonic,8,1,0.7250574094498569,1.0
loso_chb01,original,isotonic,9,7,0.84,1.0
loso_chb01,original,isotonic,10,17,1.0,1.0
loso_chb01,additional,raw,1,2779,0.06747717012089353,0.0
loso_chb01,additional,raw,2,6578,0.1524866641928902,0.0
loso_chb01,additional,raw,3,6527,0.2499437181767918,0.0
loso_chb01,additional,raw,4,6113,0.34961422328099323,0.0
loso_chb01,additional,raw,5,5815,0.44936650319964777,0.0
loso_chb01,additional,raw,6,5409,0.5487632888184247,0.0
loso_chb01,additional,raw,7,4033,0.6470147554145432,0.0
loso_chb01,additional,raw,8,1961,0.740058144549608,0.0
loso_chb01,additional,raw,9,334,0.8329862179619629,0.0
loso_chb01,additional,raw,10,29,0.9280173819537443,0.0
loso_chb01,additional,sigmoid,1,39567,0.038328505545208114,0.0
loso_chb01,additional,sigmoid,2,11,0.12047791501713637,0.0
loso_chb01,additional,sigmoid,3,0,,
loso_chb01,additional,sigmoid,4,0,,
loso_chb01,additional,sigmoid,5,0,,
loso_chb01,additional,sigmoid,6,0,,
loso_chb01,additional,sigmoid,7,0,,
loso_chb01,additional,sigmoid,8,0,,
loso_chb01,additional,sigmoid,9,0,,
loso_chb01,additional,sigmoid,10,0,,
loso_chb01,additional,isotonic,1,39561,0.03292200933570208,0.0
loso_chb01,additional,isotonic,2,10,0.10801980198019803,0.0
loso_chb01,additional,isotonic,3,1,0.21428571428571427,0.0
loso_chb01,additional,isotonic,4,0,,
loso_chb01,additional,isotonic,5,0,,
loso_chb01,additional,isotonic,6,1,0.5384615384615384,0.0
loso_chb01,additional,isotonic,7,1,0.6666666666666666,0.0
loso_chb01,additional,isotonic,8,0,,
loso_chb01,additional,isotonic,9,2,0.84,0.0
loso_chb01,additional,isotonic,10,2,1.0,0.0
loso_chb01,combined,raw,1,7116,0.06424436901736376,0.020376616076447442
loso_chb01,combined,raw,2,14326,0.15076320977542654,0.021429568616501467
loso_chb01,combined,raw,3,12796,0.24917872098861674,0.017818068146295718
loso_chb01,combined,raw,4,11485,0.3494470493389716,0.013408794079233783
loso_chb01,combined,raw,5,10154,0.44798046386847834,0.014083119952727988
loso_chb01,combined,raw,6,8060,0.5475322392886259,0.010297766749379652
loso_chb01,combined,raw,7,5379,0.6461269858486028,0.009667224391150772
loso_chb01,combined,raw,8,2642,0.7417084677297844,0.01968205904617714
loso_chb01,combined,raw,9,860,0.8398485801254096,0.05465116279069768
loso_chb01,combined,raw,10,133,0.9340805261432943,0.48872180451127817
loso_chb01,combined,sigmoid,1,72888,0.036371707656483745,0.01686148611568434
loso_chb01,combined,sigmoid,2,63,0.12488342308333283,0.746031746031746
loso_chb01,combined,sigmoid,3,0,,
loso_chb01,combined,sigmoid,4,0,,
loso_chb01,combined,sigmoid,5,0,,
loso_chb01,combined,sigmoid,6,0,,
loso_chb01,combined,sigmoid,7,0,,
loso_chb01,combined,sigmoid,8,0,,
loso_chb01,combined,sigmoid,9,0,,
loso_chb01,combined,sigmoid,10,0,,
loso_chb01,combined,isotonic,1,72869,0.032882524911357035,0.01679726632724478
loso_chb01,combined,isotonic,2,34,0.1083867210250437,0.35294117647058826
loso_chb01,combined,isotonic,3,3,0.2134884275215321,0.3333333333333333
loso_chb01,combined,isotonic,4,0,,
loso_chb01,combined,isotonic,5,4,0.4444444444444444,1.0
loso_chb01,combined,isotonic,6,5,0.5384615384615384,0.8
loso_chb01,combined,isotonic,7,7,0.6666666666666666,0.8571428571428571
loso_chb01,combined,isotonic,8,1,0.7250574094498569,1.0
loso_chb01,combined,isotonic,9,9,0.84,0.7777777777777778
loso_chb01,combined,isotonic,10,19,1.0,0.8947368421052632
loso_chb02,original,raw,1,2153,0.06405399443202216,0.003251277287505806
loso_chb02,original,raw,2,3786,0.14994402357644196,0.021394611727416798
loso_chb02,original,raw,3,2714,0.24589614482765568,0.040530582166543844
loso_chb02,original,raw,4,1886,0.347384979683425,0.037645811240721104
loso_chb02,original,raw,5,1453,0.44767736199737407,0.026841018582243633
loso_chb02,original,raw,6,1165,0.5485145602433172,0.03347639484978541
loso_chb02,original,raw,7,924,0.6515074634757521,0.0183982683982684
loso_chb02,original,raw,8,422,0.7447952828853076,0.02132701421800948
loso_chb02,original,raw,9,187,0.8486144241444226,0.0106951871657754
loso_chb02,original,raw,10,180,0.9465046443183883,0.42777777777777776
loso_chb02,original,sigmoid,1,14636,0.02856240663614295,0.025553429898879477
loso_chb02,original,sigmoid,2,191,0.134948124014107,0.225130890052356
loso_chb02,original,sigmoid,3,43,0.2360973259800846,0.813953488372093
loso_chb02,original,sigmoid,4,0,,
loso_chb02,original,sigmoid,5,0,,
loso_chb02,original,sigmoid,6,0,,
loso_chb02,original,sigmoid,7,0,,
loso_chb02,original,sigmoid,8,0,,
loso_chb02,original,sigmoid,9,0,,
loso_chb02,original,sigmoid,10,0,,
loso_chb02,original,isotonic,1,14731,0.024363338508382,0.025728056479532958
loso_chb02,original,isotonic,2,24,0.1243523316062176,0.16666666666666666
loso_chb02,original,isotonic,3,13,0.20000000000000004,0.3076923076923077
loso_chb02,original,isotonic,4,11,0.3684210526315789,0.18181818181818182
loso_chb02,original,isotonic,5,0,,
loso_chb02,original,isotonic,6,0,,
loso_chb02,original,isotonic,7,34,0.6046511627906977,0.6176470588235294
loso_chb02,original,isotonic,8,1,0.7694394236019897,0.0
loso_chb02,original,isotonic,9,11,0.8571428571428572,0.5454545454545454
loso_chb02,original,isotonic,10,45,0.9845650565767086,0.8
loso_chb02,additional,raw,1,17294,0.041720669182166895,0.0
loso_chb02,additional,raw,2,10642,0.148720677649066,0.0
loso_chb02,additional,raw,3,7748,0.24603503809215913,0.0
loso_chb02,additional,raw,4,4720,0.3457928253107605,0.0
loso_chb02,additional,raw,5,3218,0.4477889257837135,0.0
loso_chb02,additional,raw,6,2365,0.5461045342494681,0.0
loso_chb02,additional,raw,7,1478,0.6444563021716404,0.0
loso_chb02,additional,raw,8,789,0.7422164082024437,0.0
loso_chb02,additional,raw,9,238,0.8407996805133325,0.0
loso_chb02,additional,raw,10,81,0.9308770179066346,0.0
loso_chb02,additional,sigmoid,1,48441,0.021802617147448678,0.0
loso_chb02,additional,sigmoid,2,127,0.12437094287139598,0.0
loso_chb02,additional,sigmoid,3,5,0.2239637012446173,0.0
loso_chb02,additional,sigmoid,4,0,,
loso_chb02,additional,sigmoid,5,0,,
loso_chb02,additional,sigmoid,6,0,,
loso_chb02,additional,sigmoid,7,0,,
loso_chb02,additional,sigmoid,8,0,,
loso_chb02,additional,sigmoid,9,0,,
loso_chb02,additional,sigmoid,10,0,,
loso_chb02,additional,isotonic,1,48520,0.022348079589060443,0.0
loso_chb02,additional,isotonic,2,24,0.1243523316062176,0.0
loso_chb02,additional,isotonic,3,8,0.2,0.0
loso_chb02,additional,isotonic,4,3,0.3684210526315789,0.0
loso_chb02,additional,isotonic,5,0,,
loso_chb02,additional,isotonic,6,0,,
loso_chb02,additional,isotonic,7,9,0.6046511627906976,0.0
loso_chb02,additional,isotonic,8,0,,
loso_chb02,additional,isotonic,9,4,0.8571428571428571,0.0
loso_chb02,additional,isotonic,10,5,0.9822222222222221,0.0
loso_chb02,combined,raw,1,19447,0.04419321760932473,0.0003599526919319175
loso_chb02,combined,raw,2,14428,0.14904169148889446,0.0056140837260881616
loso_chb02,combined,raw,3,10462,0.24599900709236347,0.010514242018734467
loso_chb02,combined,raw,4,6606,0.346247382250943,0.010747805025734181
loso_chb02,combined,raw,5,4671,0.44775422182705515,0.008349389852280027
loso_chb02,combined,raw,6,3530,0.5468999111001294,0.01104815864022663
loso_chb02,combined,raw,7,2402,0.6471687389097749,0.007077435470441299
loso_chb02,combined,raw,8,1211,0.7431150746897837,0.007431874483897605
loso_chb02,combined,raw,9,425,0.8442381677110121,0.004705882352941176
loso_chb02,combined,raw,10,261,0.9416546912940508,0.2950191570881226
loso_chb02,combined,sigmoid,1,63077,0.02337111721810089,0.005929261061876754
loso_chb02,combined,sigmoid,2,318,0.13072390387220667,0.13522012578616352
loso_chb02,combined,sigmoid,3,48,0.23483340673680675,0.7291666666666666
loso_chb02,combined,sigmoid,4,0,,
loso_chb02,combined,sigmoid,5,0,,
loso_chb02,combined,sigmoid,6,0,,
loso_chb02,combined,sigmoid,7,0,,
loso_chb02,combined,sigmoid,8,0,,
loso_chb02,combined,sigmoid,9,0,,
loso_chb02,combined,sigmoid,10,0,,
loso_chb02,combined,isotonic,1,63251,0.02281742836047158,0.005992000126480213
loso_chb02,combined,isotonic,2,48,0.1243523316062176,0.08333333333333333
loso_chb02,combined,isotonic,3,21,0.20000000000000004,0.19047619047619047
loso_chb02,combined,isotonic,4,14,0.36842105263157887,0.14285714285714285
loso_chb02,combined,isotonic,5,0,,
loso_chb02,combined,isotonic,6,0,,
loso_chb02,combined,isotonic,7,43,0.6046511627906977,0.4883720930232558
loso_chb02,combined,isotonic,8,1,0.7694394236019897,0.0
loso_chb02,combined,isotonic,9,15,0.8571428571428573,0.4
loso_chb02,combined,isotonic,10,50,0.98433077314126,0.72
loso_chb03,original,raw,1,17913,0.019447082751544238,0.041589906771618376
loso_chb03,original,raw,2,1957,0.14330222339125115,0.0633622892181911
loso_chb03,original,raw,3,947,0.2452988125908512,0.08130939809926083
loso_chb03,original,raw,4,712,0.34671685114134543,0.08567415730337079
loso_chb03,original,raw,5,572,0.4490490961737334,0.08041958041958042
loso_chb03,original,raw,6,497,0.5494681676684687,0.1267605633802817
loso_chb03,original,raw,7,356,0.648724992234028,0.10674157303370786
loso_chb03,original,raw,8,251,0.7458467998879612,0.17928286852589642
loso_chb03,original,raw,9,139,0.8473879527419372,0.2733812949640288
loso_chb03,original,raw,10,43,0.9379014553467218,0.4418604651162791
loso_chb03,original,sigmoid,1,23247,0.006674288806103602,0.0519206779369381
loso_chb03,original,sigmoid,2,120,0.1289498977739448,0.35
loso_chb03,original,sigmoid,3,8,0.2266997117585531,0.375
loso_chb03,original,sigmoid,4,11,0.3508550048420587,0.36363636363636365
loso_chb03,original,sigmoid,5,1,0.4060210409640955,0.0
loso_chb03,original,sigmoid,6,0,,
loso_chb03,original,sigmoid,7,0,,
loso_chb03,original,sigmoid,8,0,,
loso_chb03,original,sigmoid,9,0,,
loso_chb03,original,sigmoid,10,0,,
loso_chb03,original,isotonic,1,23352,0.00782386120154828,0.05314319972593354
loso_chb03,original,isotonic,2,14,0.12022848646680422,0.5714285714285714
loso_chb03,original,isotonic,3,3,0.2338709677419355,0.0
loso_chb03,original,isotonic,4,5,0.32519291721945437,0.4
loso_chb03,original,isotonic,5,0,,
loso_chb03,original,isotonic,6,0,,
loso_chb03,original,isotonic,7,0,,
loso_chb03,original,isotonic,8,1,0.7037037037037037,1.0
loso_chb03,original,isotonic,9,0,,
loso_chb03,original,isotonic,10,12,0.9583333333333331,0.3333333333333333
loso_chb03,additional,raw,1,33935,0.017220587601791053,0.0
loso_chb03,additional,raw,2,3055,0.14476818467972571,0.0
loso_chb03,additional,raw,3,2082,0.2467657798035875,0.0
loso_chb03,additional,raw,4,1395,0.346886004873166,0.0
loso_chb03,additional,raw,5,1173,0.4500076467585816,0.0
loso_chb03,additional,raw,6,1055,0.5493200625983748,0.0
loso_chb03,additional,raw,7,1075,0.6500444003253766,0.0
loso_chb03,additional,raw,8,798,0.7459391826454616,0.0
loso_chb03,additional,raw,9,372,0.8392285730175367,0.0
loso_chb03,additional,raw,10,38,0.924646559250474,0.0
loso_chb03,additional,sigmoid,1,44715,0.0077467446655351095,0.0
loso_chb03,additional,sigmoid,2,253,0.12151910527965634,0.0
loso_chb03,additional,sigmoid,3,8,0.2376318833214406,0.0
loso_chb03,additional,sigmoid,4,2,0.32351899381680493,0.0
loso_chb03,additional,sigmoid,5,0,,
loso_chb03,additional,sigmoid,6,0,,
loso_chb03,additional,sigmoid,7,0,,
loso_chb03,additional,sigmoid,8,0,,
loso_chb03,additional,sigmoid,9,0,,
loso_chb03,additional,sigmoid,10,0,,
loso_chb03,additional,isotonic,1,44952,0.008272870750994477,0.0
loso_chb03,additional,isotonic,2,15,0.1201359388275276,0.0
loso_chb03,additional,isotonic,3,4,0.23790322580645162,0.0
loso_chb03,additional,isotonic,4,2,0.3103448275862069,0.0
loso_chb03,additional,isotonic,5,0,,
loso_chb03,additional,isotonic,6,0,,
loso_chb03,additional,isotonic,7,0,,
loso_chb03,additional,isotonic,8,3,0.7037037037037037,0.0
loso_chb03,additional,isotonic,9,0,,
loso_chb03,additional,isotonic,10,2,0.9166666666666666,0.0
loso_chb03,combined,raw,1,51848,0.01798982089174493,0.014368924548680759
loso_chb03,combined,raw,2,5012,0.14419578119976864,0.024740622505985636
loso_chb03,combined,raw,3,3029,0.24630714066510576,0.025420931000330143
loso_chb03,combined,raw,4,2107,0.3468288442385878,0.02895111532985287
loso_chb03,combined,raw,5,1745,0.44969343991930766,0.026361031518624643
loso_chb03,combined,raw,6,1552,0.5493674905750737,0.04059278350515464
loso_chb03,combined,raw,7,1431,0.6497161618344471,0.026554856743535988
loso_chb03,combined,raw,8,1049,0.7459170777149253,0.042897998093422304
loso_chb03,combined,raw,9,511,0.8414480520423738,0.07436399217221135
loso_chb03,combined,raw,10,81,0.9316831090299637,0.2345679012345679
loso_chb03,combined,sigmoid,1,67962,0.0073799017038182054,0.017759924663782702
loso_chb03,combined,sigmoid,2,373,0.12390970876307354,0.1126005361930295
loso_chb03,combined,sigmoid,3,16,0.23216579753999686,0.1875
loso_chb03,combined,sigmoid,4,13,0.3466494646843274,0.3076923076923077
