exposure,family,refractory_s,n_subjects,false_clusters_per_hour_mean,false_clusters_per_hour_sd,false_clusters_per_hour_ci_low,false_clusters_per_hour_ci_high,false_clusters_per_hour_n,clusters_per_hour_mean,clusters_per_hour_sd,clusters_per_hour_ci_low,clusters_per_hour_ci_high,clusters_per_hour_n,authorization_fraction_mean,authorization_fraction_sd,authorization_fraction_ci_low,authorization_fraction_ci_high,authorization_fraction_n,positive_authorization_rate_mean,positive_authorization_rate_sd,positive_authorization_rate_ci_low,positive_authorization_rate_ci_high,positive_authorization_rate_n,authorized_support_fraction_mean,authorized_support_fraction_sd,authorized_support_fraction_ci_low,authorized_support_fraction_ci_high,authorized_support_fraction_n,center_coverage_mean,center_coverage_sd,center_coverage_ci_low,center_coverage_ci_high,center_coverage_n,end_coverage_mean,end_coverage_sd,end_coverage_ci_low,end_coverage_ci_high,end_coverage_n,center_pre_fraction_mean,center_pre_fraction_sd,center_pre_fraction_ci_low,center_pre_fraction_ci_high,center_pre_fraction_n,end_pre_fraction_mean,end_pre_fraction_sd,end_pre_fraction_ci_low,end_pre_fraction_ci_high,end_pre_fraction_n,center_median_lead_mean,center_median_lead_sd,center_median_lead_ci_low,center_median_lead_ci_high,center_median_lead_n,end_median_lead_mean,end_median_lead_sd,end_median_lead_ci_low,end_median_lead_ci_high,end_median_lead_n,pooled_hours,pooled_edfs,pooled_windows,pooled_positive_windows,pooled_authorized_windows,pooled_true_authorized_windows,pooled_false_authorized_windows,pooled_false_clusters,pooled_clusters,pooled_center_events,pooled_center_pre,pooled_center_post,pooled_center_missed,pooled_end_events,pooled_end_pre,pooled_end_post,pooled_end_missed,pooled_false_clusters_per_hour
original,threshold,0,5,1.0822647851811626,2.0762921153107508,0.04838872273933936,2.947782033479316,5,1.5554252648791687,2.1884292205300913,0.38127728413408474,3.517103122024083,5,0.00227750935241746,0.0038680515656509934,0.00035402416018614,0.00574098613218302,5,0.6762987012987013,0.3936435220438736,0.3705627705627705,0.975,5,0.0032922398363678398,0.005331479686870868,0.00057761145776952,0.00807568027256796,5,0.6133333333333334,0.19709914399194706,0.43809523809523804,0.7428571428571429,5,0.6133333333333334,0.19709914399194706,0.43809523809523804,0.7428571428571429,5,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,5,-20.6,9.396807968666806,-27.6,-12.8,5,-22.6,9.396807968666806,-29.6,-14.8,5,67.82138888888889,70,122007,5227,279,78,201,74,104,27,0,16,11,27,0,16,11,1.091101217659129
additional,threshold,0,5,4.881588158993665,10.799381007510783,0.0296296296296296,14.545589225589225,5,4.881588158993665,10.799381007510783,0.0296296296296296,14.545589225589225,5,0.008432233551084392,0.018790443134588143,1.6470055380561217e-05,0.025241572665697175,5,0.0,0.0,0.0,0.0,4,0.011739542398881836,0.026121287435566055,3.292181069958848e-05,0.03510843247287687,5,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,105.00805555555556,105,188909,0,1896,0,1896,610,610,0,0,0,0,0,0,0,0,5.8090781395078155
combined,threshold,0,5,3.509626091477874,7.6699632041587025,0.036741015367750596,10.374565722697714,5,3.6807090043845028,7.703193290754688,0.19931175156011965,10.58143545176851,5,0.00621182216094226,0.013433798256603418,0.00015569367476922142,0.018240088617826,5,0.6045661361920629,0.4281476452119475,0.24740031038954596,0.9226006191950464,5,0.00868956789752156,0.018656379997421976,0.0002735346820815,0.025399059135569658,5,0.6133333333333334,0.19709914399194706,0.43809523809523804,0.7428571428571429,5,0.6133333333333334,0.19709914399194706,0.43809523809523804,0.7428571428571429,5,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,5,-20.6,9.396807968666806,-27.6,-12.8,5,-22.6,9.396807968666806,-29.6,-14.8,5,172.82944444444445,175,310916,5227,2175,78,2097,684,714,27,0,16,11,27,0,16,11,3.957658963718245
original,persistence,0,5,0.7439809498339759,1.1163236417109412,0.04615384615384614,1.7547602518650138,5,1.207935792085448,1.2616593442633912,0.34516643445193484,2.3240527677366023,5,0.00220933615423854,0.0025550962389754785,0.0003213190273484,0.0042722950344877796,5,0.6637362637362638,0.4015369052099975,0.35516483516483516,0.9723076923076924,5,0.00287910260230462,0.0032334564780178796,0.0005128904222154,0.00556098985056608,5,0.6914285714285715,0.3241314925918121,0.4057142857142857,0.9028571428571428,5,0.6914285714285715,0.3241314925918121,0.4057142857142857,0.9028571428571428,5,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,5,-20.5,8.32165848854662,-26.9,-14.0,5,-22.5,8.32165848854662,-28.9,-16.0,5,67.82138888888889,70,122007,5227,238,115,123,47,77,27,0,17,10,27,0,17,10,0.6929967193240415
additional,persistence,0,5,3.1272188552188553,6.838762117032592,0.01818181818181818,9.253037037037036,5,3.1272188552188553,6.838762117032592,0.01818181818181818,9.253037037037036,5,0.005154146617181625,0.011425196293989517,1.5159937338925666e-05,0.0153757849010767,5,0.0,0.0,0.0,0.0,3,0.00688862701084922,0.015218083574582179,2.525252525252e-05,0.02050781893004114,5,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,105.00805555555556,105,188909,0,1159,0,1159,391,391,0,0,0,0,0,0,0,0,3.7235238566353375
combined,persistence,0,5,2.252526668520921,4.776707120024906,0.03551643004165776,6.544515256550365,5,2.4278165184005043,4.794272055438835,0.18126081566578864,6.728332977560511,5,0.004022470505032471,0.008046871681369229,0.00017811249531956154,0.011271907234823792,5,0.5894926413632843,0.42752828109762775,0.23847792408985277,0.9099999999999999,5,0.005369015795600861,0.010705562571517462,0.00027871057248916,0.015003603978193003,5,0.6914285714285715,0.3241314925918121,0.4057142857142857,0.9028571428571428,5,0.6914285714285715,0.3241314925918121,0.4057142857142857,0.9028571428571428,5,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,5,-20.5,8.32165848854662,-26.9,-14.0,5,-22.5,8.32165848854662,-28.9,-16.0,5,172.82944444444445,175,310916,5227,1397,115,1282,438,468,27,0,17,10,27,0,17,10,2.5342903890476483
original,full,0,5,0.729698069453099,1.0860081228493634,0.04615384615384614,1.711911610722383,5,1.1936529117045713,1.233363665918014,0.34516643445193484,2.281204126593972,5,0.0021458214069081404,0.0024529648470234186,0.0003213190273484,0.00408175079249658,5,0.6662470862470863,0.3979916392150809,0.3601864801864802,0.9723076923076924,5,0.00283942793457998,0.0031655438919629924,0.0005128904222154,0.005441965847392161,5,0.6914285714285715,0.3241314925918121,0.4057142857142857,0.9028571428571428,5,0.6914285714285715,0.3241314925918121,0.4057142857142857,0.9028571428571428,5,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,5,-20.5,8.32165848854662,-26.9,-14.0,5,-22.5,8.32165848854662,-28.9,-16.0,5,67.82138888888889,70,122007,5227,230,115,115,46,76,27,0,17,10,27,0,17,10,0.6782521082745938
additional,full,0,5,3.0792188552188553,6.731437703491458,0.01818181818181818,9.109037037037037,5,3.0792188552188553,6.731437703491458,0.01818181818181818,9.109037037037037,5,0.005042973743362845,0.0111766082240258,1.5159937338925666e-05,0.015042266279620362,5,0.0,0.0,0.0,0.0,3,0.00677307145529366,0.014959697855590074,2.525252525252e-05,0.02016115226337446,5,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,,,,,0,105.00805555555556,105,188909,0,1134,0,1134,385,385,0,0,0,0,0,0,0,0,3.6663853831319817
combined,full,0,5,2.2166317892388188,4.696474847741863,0.03551643004165776,6.436830618704057,5,2.3919216391184017,4.714054871035062,0.18126081566578864,6.6206483397142035,5,0.003928407853605851,0.007836810175267526,0.00017811249531956154,0.010989719280543932,5,0.589610492845787,0.42733293511551607,0.23883147853736092,0.9099999999999999,5,0.0052807029973671,0.010508299558568664,0.00027871057248916,0.01473866558349172,5,0.6914285714285715,0.3241314925918121,0.4057142857142857,0.9028571428571428,5,0.6914285714285715,0.3241314925918121,0.4057142857142857,0.9028571428571428,5,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,5,-20.5,8.32165848854662,-26.9,-14.0,5,-22.5,8.32165848854662,-28.9,-16.0,5,172.82944444444445,175,310916,5227,1364,115,1249,431,461,27,0,17,10,27,0,17,10,2.493788031231818
original,majority3,0,5,0.6384607055711292,0.9918249367814067,0.04615384615384614,1.5349769645551525,5,1.0610346603319938,1.144448207920523,0.3521771036055039,2.1031250032256366,5,0.0026994557656786597,0.0032107221626147962,0.00057282039920136,0.00555831467876664,5,0.651962962962963,0.3997404336142617,0.340962962962963,0.962962962962963,5,0.00333560410150924,0.0038727370946584254,0.00076814161595854,0.0067876985522457595,5,0.6247619047619046,0.2754176379309189,0.379047619047619,0.7828571428571429,5,0.6247619047619046,0.2754176379309189,0.379047619047619,0.7828571428571429,5,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,5,-20.2,8.07465169527454,-26.4,-14.0,5,-22.2,8.07465169527454,-28.4,-16.0,5,67.82138888888889,70,122007,5227,310,133,177,41,69,27,0,16,11,27,0,16,11,0.6045290530273554
