fold,policy,hours,edfs,windows,positive_windows,authorized_windows,true_authorized_windows,false_authorized_windows,authorization_fraction,positive_authorization_rate,positive_window_sensitivity,clusters,false_clusters,clusters_per_hour,false_clusters_per_hour,false_windows_per_hour,authorized_support_seconds,authorized_support_fraction,at_risk_hours,false_clusters_per_nonrisk_hour,center_events,center_pre,center_post,center_missed,center_coverage,center_pre_fraction,center_post_fraction,center_missed_fraction,center_median_lead,center_median_latency,center_pre_among_covered,end_events,end_pre,end_post,end_missed,end_coverage,end_pre_fraction,end_post_fraction,end_missed_fraction,end_median_lead,end_median_latency,end_pre_among_covered
within_chb01,Raw threshold 0.5,6.552222222222222,8,11785,398,618,226,392,0.05243954179041154,0.3656957928802589,0.5678391959798995,224,182,34.18687468204172,27.776835679158893,59.827030693573,1806.0,0.07656435475665593,6.331666666666667,28.744406422742827,2,2,0,0,1.0,1.0,0.0,0.0,298.5,-298.5,1.0,2,2,0,0,1.0,1.0,0.0,0.0,299.5,-299.5,1.0
within_chb01,Raw persistence 0.5,6.552222222222222,8,11785,398,333,166,167,0.028256257955027578,0.4984984984984985,0.41708542713567837,133,95,20.29845684246227,14.498897744615906,25.48753603527217,932.0,0.03951161607597083,6.331666666666667,15.00394840747565,2,2,0,0,1.0,1.0,0.0,0.0,294.5,-294.5,1.0,2,2,0,0,1.0,1.0,0.0,0.0,298.5,-298.5,1.0
within_chb01,Raw overlap 0.5,6.552222222222222,8,11785,398,582,217,365,0.04938481120067883,0.37285223367697595,0.5452261306532663,226,183,34.49211463455995,27.929455655418007,55.7062913345769,1732.0,0.07342716635577412,6.331666666666667,28.902342721768886,2,2,0,0,1.0,1.0,0.0,0.0,298.5,-298.5,1.0,2,2,0,0,1.0,1.0,0.0,0.0,299.5,-299.5,1.0
within_chb01,Nominal raw-plus-isotonic,6.552222222222222,8,11785,398,104,76,28,0.008824777259227833,0.7307692307692307,0.19095477386934673,36,24,5.494319145328133,3.662879430218755,4.273359335255215,296.0,0.012548753603527217,6.331666666666667,3.7904711766254278,2,2,0,0,1.0,1.0,0.0,0.0,181.5,-181.5,1.0,2,2,0,0,1.0,1.0,0.0,0.0,179.5,-179.5,1.0
within_chb01,Nominal full 0.5,6.552222222222222,8,11785,398,59,57,2,0.0050063640220619435,0.9661016949152542,0.14321608040201006,6,2,0.9157198575546888,0.3052399525182296,0.3052399525182296,132.0,0.005596065796167543,6.331666666666667,0.315872598052119,2,0,2,0,1.0,0.0,1.0,0.0,-18.5,18.5,0.0,2,0,2,0,1.0,0.0,1.0,0.0,-20.5,20.5,0.0
within_chb02,Raw threshold 0.5,4.0,4,7196,155,353,10,343,0.0490550305725403,0.028328611898016998,0.06451612903225806,227,222,56.75,55.5,85.75,1202.0,0.08347222222222223,3.9141666666666666,56.717053438364914,1,1,0,0,1.0,1.0,0.0,0.0,237.0,-237.0,1.0,1,1,0,0,1.0,1.0,0.0,0.0,235.0,-235.0,1.0
within_chb02,Raw persistence 0.5,4.0,4,7196,155,105,4,101,0.014591439688715954,0.0380952380952381,0.025806451612903226,67,66,16.75,16.5,25.25,344.0,0.02388888888888889,3.9141666666666666,16.861826697892273,1,0,1,0,1.0,0.0,1.0,0.0,-1.0,1.0,0.0,1,0,1,0,1.0,0.0,1.0,0.0,-3.0,3.0,0.0
within_chb02,Raw overlap 0.5,4.0,4,7196,155,319,9,310,0.0443301834352418,0.02821316614420063,0.05806451612903226,207,202,51.75,50.5,77.5,1094.0,0.07597222222222222,3.9141666666666666,51.60740898445817,1,1,0,0,1.0,1.0,0.0,0.0,237.0,-237.0,1.0,1,1,0,0,1.0,1.0,0.0,0.0,235.0,-235.0,1.0
within_chb02,Nominal raw-plus-isotonic,4.0,4,7196,155,7,4,3,0.0009727626459143969,0.5714285714285714,0.025806451612903226,3,2,0.75,0.5,0.75,20.0,0.001388888888888889,3.9141666666666666,0.5109644453906749,1,0,1,0,1.0,0.0,1.0,0.0,-1.0,1.0,0.0,1,0,1,0,1.0,0.0,1.0,0.0,-3.0,3.0,0.0
within_chb02,Nominal full 0.5,4.0,4,7196,155,4,3,1,0.0005558643690939411,0.75,0.01935483870967742,2,1,0.5,0.25,0.25,12.0,0.0008333333333333334,3.9141666666666666,0.25548222269533744,1,0,1,0,1.0,0.0,1.0,0.0,-3.0,3.0,0.0,1,0,1,0,1.0,0.0,1.0,0.0,-5.0,5.0,0.0
within_chb03,Raw threshold 0.5,5.0,5,8995,534,626,26,600,0.06959421901056143,0.04153354632587859,0.04868913857677903,244,227,48.8,45.4,120.0,1844.0,0.10244444444444445,4.704444444444444,48.252243741143126,3,3,0,0,1.0,1.0,0.0,0.0,182.0,-182.0,1.0,3,3,0,0,1.0,1.0,0.0,0.0,180.0,-180.0,1.0
within_chb03,Raw persistence 0.5,5.0,5,8995,534,330,9,321,0.03668704836020011,0.02727272727272727,0.016853932584269662,127,120,25.4,24.0,64.2,914.0,0.050777777777777776,4.704444444444444,25.50779404818139,3,1,2,0,1.0,0.3333333333333333,0.6666666666666666,0.0,-3.0,3.0,0.3333333333333333,3,1,2,0,1.0,0.3333333333333333,0.6666666666666666,0.0,-5.0,5.0,0.3333333333333333
within_chb03,Raw overlap 0.5,5.0,5,8995,534,583,22,561,0.06481378543635354,0.03773584905660377,0.04119850187265917,222,207,44.4,41.4,112.2,1712.0,0.0951111111111111,4.704444444444444,44.000944733112895,3,2,1,0,1.0,0.6666666666666666,0.3333333333333333,0.0,111.0,-111.0,0.6666666666666666,3,2,1,0,1.0,0.6666666666666666,0.3333333333333333,0.0,109.0,-109.0,0.6666666666666666
within_chb03,Nominal raw-plus-isotonic,5.0,5,8995,534,59,8,51,0.006559199555308505,0.13559322033898305,0.0149812734082397,36,30,7.2,6.0,10.2,200.0,0.011111111111111112,4.704444444444444,6.376948512045347,3,0,3,0,1.0,0.0,1.0,0.0,-2.0,2.0,0.0,3,0,3,0,1.0,0.0,1.0,0.0,-4.0,4.0,0.0
within_chb03,Nominal full 0.5,5.0,5,8995,534,17,2,15,0.0018899388549193997,0.11764705882352941,0.003745318352059925,13,11,2.6,2.2,3.0,60.0,0.0033333333333333335,4.704444444444444,2.3382144544166272,3,0,2,1,0.6666666666666666,0.0,0.6666666666666666,0.3333333333333333,-24.0,24.0,0.0,3,0,1,2,0.3333333333333333,0.0,0.3333333333333333,0.6666666666666666,-4.0,4.0,0.0
within_chb05,Raw threshold 0.5,6.0,6,10794,617,597,210,387,0.055308504724847135,0.35175879396984927,0.34035656401944897,252,221,42.0,36.833333333333336,64.5,1754.0,0.08120370370370371,5.6575,39.06319045514803,3,3,0,0,1.0,1.0,0.0,0.0,295.0,-295.0,1.0,3,3,0,0,1.0,1.0,0.0,0.0,293.0,-293.0,1.0
within_chb05,Raw persistence 0.5,6.0,6,10794,617,317,176,141,0.02936816750046322,0.555205047318612,0.2852512155591572,103,86,17.166666666666668,14.333333333333334,23.5,840.0,0.03888888888888889,5.6575,15.201060539107381,3,3,0,0,1.0,1.0,0.0,0.0,293.0,-293.0,1.0,3,3,0,0,1.0,1.0,0.0,0.0,291.0,-291.0,1.0
within_chb05,Raw overlap 0.5,6.0,6,10794,617,572,207,365,0.052992403186955715,0.3618881118881119,0.3354943273905997,238,208,39.666666666666664,34.666666666666664,60.833333333333336,1674.0,0.0775,5.6575,36.76535572249227,3,3,0,0,1.0,1.0,0.0,0.0,295.0,-295.0,1.0,3,3,0,0,1.0,1.0,0.0,0.0,293.0,-293.0,1.0
