evaluation_mode,fold_id,fold_subject_id,test_hours,core_windows,calibration_windows,core_positive_windows,calibration_positive_windows,core_recordings,calibration_recordings,calibration_fallback_used,core_has_both_classes,calibration_has_both_classes,core_calibration_recording_overlap
within_subject_chronological,within_chb01,chb01,6.552222222222222,14392,7196,506,372,8,4,False,True,True,0
within_subject_chronological,within_chb02,chb02,4.0,4076,3598,106,191,3,2,False,True,True,0
within_subject_chronological,within_chb03,chb03,5.0,10794,3598,545,177,6,2,True,True,True,0
within_subject_chronological,within_chb05,chb05,6.0,9000,5397,208,206,5,3,True,True,True,0
within_subject_chronological,within_chb08,chb08,6.0,10794,3598,700,230,6,2,False,True,True,0
held_out_subject,loso_chb01,chb01,18.552222222222223,61649,26985,2945,1006,35,15,False,True,True,0
held_out_subject,loso_chb02,chb02,8.266388888888889,76893,30244,3723,1052,43,18,False,True,True,0
held_out_subject,loso_chb03,chb03,13.0,70175,28445,3124,847,40,17,False,True,True,0
held_out_subject,loso_chb05,chb05,14.002777777777778,68371,28445,3198,998,39,17,False,True,True,0
held_out_subject,loso_chb08,chb08,14.0,68376,28445,3090,925,39,17,False,True,True,0
