evaluation_mode,fold_id,fold_subject_id,test_hours,model,probability_s_t_spearman,mean_s_t_fixed_true_authorizations,mean_s_t_fixed_false_authorizations,mean_probability_fixed_true_authorizations,mean_probability_fixed_false_authorizations,fixed_true_authorizations,fixed_false_authorizations
within_subject_chronological,within_chb01,chb01,6.552222222222222,lightgbm,-0.0773644207271092,0.6907395701643488,0.6317541509357367,0.8481978490408704,0.755182824799324,226,391
within_subject_chronological,within_chb02,chb02,4.0,lightgbm,0.013080890403606703,0.7345238095238095,0.60913276875376,0.8913692942580888,0.7896827706318044,10,343
within_subject_chronological,within_chb03,chb03,5.0,lightgbm,0.021196961604158838,0.5018315018315018,0.6755555555555556,0.7746391042984855,0.7379816804345205,26,600
within_subject_chronological,within_chb05,chb05,6.0,lightgbm,-0.055429201468711074,0.8738851095993952,0.670696443952258,0.9434364309358251,0.7552875787215616,210,387
within_subject_chronological,within_chb08,chb08,6.0,lightgbm,-0.28727173138424317,0.7511248593925759,0.6084312512883943,0.8977859899796957,0.6614838530218061,127,308
held_out_subject,loso_chb01,chb01,18.552222222222223,lightgbm,-0.03732850295574558,0.6520810107766629,0.5310899386378619,0.7354450987177139,0.6270156608695029,299,5008
held_out_subject,loso_chb02,chb02,8.266388888888889,lightgbm,0.14114854966100293,0.7162559662559662,0.6515489553556904,0.8015144705534962,0.6471003136013252,143,2732
held_out_subject,loso_chb03,chb03,13.0,lightgbm,-0.2249490834222507,0.5971342560012511,0.5301521347227719,0.7043578121473886,0.6522358037705813,203,1083
held_out_subject,loso_chb05,chb05,14.002777777777778,lightgbm,-0.13020812477791213,0.6315040650406505,0.5807453084419053,0.7990984137237314,0.77531665507096,410,5201
held_out_subject,loso_chb08,chb08,14.0,lightgbm,-0.013772722417719612,0.6939509828110865,0.5517722562057538,0.7707212410671395,0.629926981012956,386,2639
