evaluation_mode,fold_id,fold_subject_id,test_hours,model,model_label,brier_score,expected_calibration_error
within_subject_chronological,within_chb01,chb01,6.552222222222222,logistic_regression,Logistic regression,0.13341377599824733,0.24165417510037296
within_subject_chronological,within_chb01,chb01,6.552222222222222,random_forest,Random forest,0.02281808230801867,0.005003818413237163
within_subject_chronological,within_chb01,chb01,6.552222222222222,lightgbm,LightGBM,0.04177550817218507,0.05190806450546183
within_subject_chronological,within_chb02,chb02,4.0,logistic_regression,Logistic regression,0.3418060908554736,0.4889336035488972
within_subject_chronological,within_chb02,chb02,4.0,random_forest,Random forest,0.029784824902723734,0.03642857142857142
within_subject_chronological,within_chb02,chb02,4.0,lightgbm,LightGBM,0.07082571071986583,0.09426780705067522
within_subject_chronological,within_chb03,chb03,5.0,logistic_regression,Logistic regression,0.26312869985167275,0.3921876558548605
within_subject_chronological,within_chb03,chb03,5.0,random_forest,Random forest,0.06663483046136744,0.06842356864924959
within_subject_chronological,within_chb03,chb03,5.0,lightgbm,LightGBM,0.11394353171747895,0.12877949088653348
within_subject_chronological,within_chb05,chb05,6.0,logistic_regression,Logistic regression,0.20891194241164332,0.31674738015100556
within_subject_chronological,within_chb05,chb05,6.0,random_forest,Random forest,0.04769040207522697,0.040987585695756903
within_subject_chronological,within_chb05,chb05,6.0,lightgbm,LightGBM,0.08760113391654642,0.10864468696358776
within_subject_chronological,within_chb08,chb08,6.0,logistic_regression,Logistic regression,0.13934822320168266,0.2757814111787637
within_subject_chronological,within_chb08,chb08,6.0,random_forest,Random forest,0.020759079118028535,0.016663887344821198
within_subject_chronological,within_chb08,chb08,6.0,lightgbm,LightGBM,0.048572614071368675,0.08033131602399794
held_out_subject,loso_chb01,chb01,18.552222222222223,logistic_regression,Logistic regression,0.1774013254875928,0.35572003912026157
held_out_subject,loso_chb01,chb01,18.552222222222223,random_forest,Random forest,0.036718098462829224,0.00894525514637582
held_out_subject,loso_chb01,chb01,18.552222222222223,lightgbm,LightGBM,0.13801145615486357,0.26293584218515165
held_out_subject,loso_chb02,chb02,8.266388888888889,logistic_regression,Logistic regression,0.3249894605750812,0.5092248699996392
held_out_subject,loso_chb02,chb02,8.266388888888889,random_forest,Random forest,0.02932524546065905,0.01636045729657027
held_out_subject,loso_chb02,chb02,8.266388888888889,lightgbm,LightGBM,0.14251547451428506,0.285921397409862
held_out_subject,loso_chb03,chb03,13.0,logistic_regression,Logistic regression,0.12622267254877828,0.22287750208026064
held_out_subject,loso_chb03,chb03,13.0,random_forest,Random forest,0.051766421516226964,0.03196177363492539
held_out_subject,loso_chb03,chb03,13.0,lightgbm,LightGBM,0.08357692689669191,0.0971629733646268
held_out_subject,loso_chb05,chb05,14.002777777777778,logistic_regression,Logistic regression,0.1504364592822892,0.3117592537416064
held_out_subject,loso_chb05,chb05,14.002777777777778,random_forest,Random forest,0.053208709459727686,0.0512008256917153
held_out_subject,loso_chb05,chb05,14.002777777777778,lightgbm,LightGBM,0.1629767746467636,0.23660334058436946
held_out_subject,loso_chb08,chb08,14.0,logistic_regression,Logistic regression,0.2107598566520478,0.3858909492428136
held_out_subject,loso_chb08,chb08,14.0,random_forest,Random forest,0.04227587548638132,0.017196061303898995
held_out_subject,loso_chb08,chb08,14.0,lightgbm,LightGBM,0.10617316266823046,0.19595456084131935
