evaluation_mode,fold_id,fold_subject_id,test_hours,model,model_label,calibration_method,auroc,auprc,brier_score,expected_calibration_error,calibration_slope,calibration_intercept,max_predicted_probability
within_subject_chronological,within_chb01,chb01,6.552222222222222,logistic_regression,Logistic regression,raw,0.9278772893182872,0.29388034530049795,0.10795919715406875,0.1722735613901702,0.3663629776324486,-2.9791097238756974,1.0
within_subject_chronological,within_chb01,chb01,6.552222222222222,logistic_regression,Logistic regression,sigmoid,0.9280624162350348,0.30894726019285096,0.028036747668265423,0.030827458902284235,1.5127271927911585,0.7659177062075302,0.7059023388883517
within_subject_chronological,within_chb01,chb01,6.552222222222222,logistic_regression,Logistic regression,isotonic,0.8169362885385035,0.18928187736460675,0.031105229282283372,0.01771413736532459,0.24978711210280313,-2.6922702773283826,1.0
within_subject_chronological,within_chb01,chb01,6.552222222222222,random_forest,Random forest,raw,0.9462328768634602,0.4873941271366967,0.023263198981756467,0.006420025456088246,0.9608554719922681,0.21096844383785981,0.99
within_subject_chronological,within_chb01,chb01,6.552222222222222,random_forest,Random forest,sigmoid,0.9462328768634602,0.4873941271366967,0.030902621410083896,0.018873750043741113,13.724644628609683,31.744120139024645,0.12170180877655931
within_subject_chronological,within_chb01,chb01,6.552222222222222,random_forest,Random forest,isotonic,0.9343201031944652,0.4195612105901627,0.02672568987693896,0.018093673329892066,1.2228049376962904,0.14860726941516822,1.0
within_subject_chronological,within_chb01,chb01,6.552222222222222,lightgbm,LightGBM,raw,0.9551924459391892,0.4784222785582966,0.034654863610271334,0.029532636893030685,0.574746591789539,-1.4785471697149863,0.9982299130677442
within_subject_chronological,within_chb01,chb01,6.552222222222222,lightgbm,LightGBM,sigmoid,0.9551924459391892,0.4784222785582966,0.0277885479403197,0.04236139480933099,3.561707203070544,5.46305738440106,0.28387674483027464
within_subject_chronological,within_chb01,chb01,6.552222222222222,lightgbm,LightGBM,isotonic,0.8552744401731147,0.32170832239858704,0.027207325768007478,0.024949661813335307,0.32715833571752784,-2.4614603966520128,1.0
within_subject_chronological,within_chb02,chb02,4.0,logistic_regression,Logistic regression,raw,0.3848207045370205,0.024383649907666977,0.4557197848773772,0.5719441148078065,-0.12687655061042113,-3.7930583998921716,0.9999929393212342
