evaluation_mode,model,model_label,policy,threshold,calibration_method,persistence_requirement_windows,stability_threshold,cluster_cooldown_seconds,n_folds,authorized_windows_mean,authorized_windows_std,authorized_windows_ci95_low,authorized_windows_ci95_high,authorization_rate_mean,authorization_rate_std,authorization_rate_ci95_low,authorization_rate_ci95_high,authorization_windows_per_hour_mean,authorization_windows_per_hour_std,authorization_windows_per_hour_ci95_low,authorization_windows_per_hour_ci95_high,false_authorization_windows_per_hour_mean,false_authorization_windows_per_hour_std,false_authorization_windows_per_hour_ci95_low,false_authorization_windows_per_hour_ci95_high,positive_authorization_rate_mean,positive_authorization_rate_std,positive_authorization_rate_ci95_low,positive_authorization_rate_ci95_high,window_level_sensitivity_mean,window_level_sensitivity_std,window_level_sensitivity_ci95_low,window_level_sensitivity_ci95_high,mean_s_t_authorized_mean,mean_s_t_authorized_std,mean_s_t_authorized_ci95_low,mean_s_t_authorized_ci95_high,authorization_clusters_per_hour_mean,authorization_clusters_per_hour_std,authorization_clusters_per_hour_ci95_low,authorization_clusters_per_hour_ci95_high,false_authorization_clusters_per_hour_mean,false_authorization_clusters_per_hour_std,false_authorization_clusters_per_hour_ci95_low,false_authorization_clusters_per_hour_ci95_high,median_authorization_cluster_duration_seconds_mean,median_authorization_cluster_duration_seconds_std,median_authorization_cluster_duration_seconds_ci95_low,median_authorization_cluster_duration_seconds_ci95_high,event_level_coverage_mean,event_level_coverage_std,event_level_coverage_ci95_low,event_level_coverage_ci95_high,pre_onset_authorizations_mean,pre_onset_authorizations_std,pre_onset_authorizations_ci95_low,pre_onset_authorizations_ci95_high,median_lead_time_seconds_mean,median_lead_time_seconds_std,median_lead_time_seconds_ci95_low,median_lead_time_seconds_ci95_high
within_subject_chronological,logistic_regression,Logistic regression,Fixed threshold,0.5,raw,1,,0.0,5,3224.6,1042.951964378034,2436.2,4037.6,0.35228472676369416,0.18562132337351972,0.21992625737094157,0.510561423012785,633.7460347069131,333.94827735793484,395.60477078740604,918.5,592.9538737211012,347.7589841471341,341.1810807755356,893.68,0.08706530976601216,0.057950358829764084,0.042511930531555865,0.1314469977018563,0.6053341664203793,0.22983081434519115,0.4255711860148673,0.7850971468258912,0.7240470586004977,0.008777718125655783,0.7174117004858986,0.7307239096416102,102.37623367814142,25.47366241325151,84.68580068961619,125.18333333333335,98.4188977446159,25.933420929615377,80.26446215589849,121.18666666666665,7.6,2.6076809620810595,6.0,10.0,1.0,0.0,1.0,1.0,2.0,1.0,1.2,2.8,296.9,5.549774770204643,291.9,299.7
within_subject_chronological,logistic_regression,Logistic regression,Threshold + temporal persistence,0.5,raw,2,,0.0,5,2469.2,967.9417337835993,1709.6,3228.8,0.2720855306327176,0.15940648833676743,0.15589134867978083,0.4040207522697795,489.47172573625005,286.7831166349969,280.43839240291675,726.8333333333334,453.8439019840597,299.3887002077962,239.7550392855124,705.4033333333334,0.10593050599338003,0.07642758007235019,0.04592778100735432,0.1623761638733706,0.5347636402643599,0.22847812855603333,0.3593513101564958,0.7101759703722239,0.749582698510803,0.011044276978172932,0.7411992737346135,0.7581445424904854,101.18740093833023,47.52083204677599,70.92553614832401,145.54333333333335,97.4130637047086,48.355463481360616,67.20612740941722,142.24333333333334,6.4,0.8944271909999157,6.0,7.2,1.0,0.0,1.0,1.0,2.0,1.0,1.2,2.8,294.9,6.107372593840988,289.5,299.0
within_subject_chronological,logistic_regression,Logistic regression,Threshold + attribution-stability gate,0.5,raw,1,0.4,0.0,5,3074.6,978.7304531892323,2340.0,3860.8,0.3358128633980018,0.17615915144754296,0.21086086182639377,0.48710579951825095,604.1138245435532,316.9251718856615,379.2981402973263,876.3033333333333,564.6319981911706,330.60711795327995,326.370663049008,852.2133333333334,0.08842393393760364,0.05923350470364094,0.04262505202801344,0.13351948784025205,0.5893661267828363,0.23067320046098483,0.4094636892883738,0.7692685642772987,0.7473986989404683,0.01184077067255875,0.7385845754072842,0.7562200058273111,103.97784975411227,29.225418429438953,83.60903284155786,130.07333333333332,100.00894183483128,29.814358161891064,79.03788366966255,126.19000000000001,7.6,2.6076809620810595,6.0,10.0,1.0,0.0,1.0,1.0,2.0,1.0,1.2,2.8,296.9,5.549774770204643,291.9,299.7
within_subject_chronological,logistic_regression,Logistic regression,Threshold + calibration-aware gate,0.5,raw + isotonic,1,,0.0,5,77.2,56.755616462161704,33.8,120.6,0.007114898053405589,0.00478671199955783,0.0034111543450064848,0.010724144819058718,12.798788649595839,8.610078208151586,6.136666666666666,19.29091063252501,4.026869029450003,4.263125314136061,0.7666666666666666,7.400607088350009,0.5696942060827149,0.3373051376548814,0.3095607235142119,0.829827688651218,0.12633427647150075,0.10692068146685262,0.04536229534770627,0.20659486727521306,0.7746839026112363,0.11927995131280408,0.6806515292672546,0.857858384525214,2.8176705669549484,2.4966912324491686,1.1,4.871003900288281,2.1083839240291673,2.1642230975929286,0.6333333333333333,3.9483839240291667,18.2,31.752165280497014,4.0,46.6,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,-16.3,12.814054783713077,-26.3,-6.4
within_subject_chronological,logistic_regression,Logistic regression,Full governed policy,0.5,isotonic,2,0.4,0.0,5,61.4,57.413413066982876,15.6,105.6,0.005530052562239161,0.005035679187881607,0.0015119510839355197,0.009548154040542803,9.947784749307559,9.058237133834353,2.72,17.175569498615115,1.9184851054208352,3.0930673217340083,0.13333333333333333,4.715455316262506,0.663550135501355,0.4058177584995431,0.3166666666666667,0.9666666666666668,0.11505643359084328,0.10428127637792518,0.03768844221105528,0.19208665602343014,0.8653727409427303,0.03348928644418313,0.8382275132275132,0.8925179686579474,0.9098106381776043,0.7013457864334928,0.38314397151093776,1.4462974111129951,0.5115719857554689,0.6540462963986241,0.09157198575546888,1.06,32.0,33.15619600215521,6.5,59.25,0.6666666666666666,0.47140452079103173,0.26666666666666666,1.0,0.0,0.0,0.0,0.0,-25.125,14.167892103861698,-36.75,-14.25
within_subject_chronological,random_forest,Random forest,Fixed threshold,0.5,raw,1,,0.0,5,95.4,55.23857347904632,50.0,135.8,0.009106533910124176,0.004987661909222417,0.004811555218258325,0.012577357791365573,16.38206489175287,8.972983429254745,8.655398225086202,22.626666666666665,6.665050590695833,6.130771138140438,2.6050505906958343,11.935050590695834,0.5580375300898963,0.31516569478073064,0.28770508337856443,0.7697727407107079,0.15121151398806942,0.1387373590343988,0.04947273518735395,0.25237457792543305,1.0,0.0,1.0,1.0,5.343099881295574,3.0813961757977766,3.0595330959244813,7.86976654796224,4.069621276355209,2.958548174768723,1.932575886043751,6.559621276355209,4.4,0.8944271909999159,4.0,5.2,0.9333333333333332,0.149071198499986,0.7999999999999999,1.0,0.8,1.0954451150103324,0.0,1.6,43.9,82.46089982531115,-14.2,114.14999999999972
within_subject_chronological,random_forest,Random forest,Threshold + temporal persistence,0.5,raw,2,,0.0,5,62.2,42.34028814261897,30.0,94.4,0.0058387667876581605,0.003794576525449087,0.0030109319992588477,0.008645881851582563,10.503535696116668,6.826497781762276,5.416666666666666,15.553535696116668,2.351571985755469,3.148419511970665,0.48314397151093774,5.1715719857554685,0.7543868956070364,0.41016599394412834,0.38186262376237623,0.9650485436893204,0.12848934949214172,0.12662623960666541,0.035647829579211754,0.22370268607705052,1.0,0.0,1.0,1.0,2.3313826239330733,1.446859343945167,1.0913826239330735,3.3733333333333335,1.2943813238369792,1.2098497076096233,0.3887626476739585,2.2277146571703126,5.6,1.6733200530681511,4.4,6.8,0.8666666666666668,0.2981423969999719,0.6,1.0,0.4,0.5477225575051662,0.0,0.8,4.7,57.9844806823343,-31.6,56.3
within_subject_chronological,random_forest,Random forest,Threshold + attribution-stability gate,0.5,raw,1,0.4,0.0,5,95.4,55.23857347904632,50.0,135.8,0.009106533910124176,0.004987661909222417,0.004811555218258325,0.012577357791365573,16.38206489175287,8.972983429254745,8.655398225086202,22.626666666666665,6.665050590695833,6.130771138140438,2.6050505906958343,11.935050590695834,0.5580375300898963,0.31516569478073064,0.28770508337856443,0.7697727407107079,0.15121151398806942,0.1387373590343988,0.04947273518735395,0.25237457792543305,1.0,0.0,1.0,1.0,5.343099881295574,3.0813961757977766,3.0595330959244813,7.86976654796224,4.069621276355209,2.958548174768723,1.932575886043751,6.559621276355209,4.4,0.8944271909999159,4.0,5.2,0.9333333333333332,0.149071198499986,0.7999999999999999,1.0,0.8,1.0954451150103324,0.0,1.6,43.9,82.46089982531115,-14.2,114.14999999999972
within_subject_chronological,random_forest,Random forest,Threshold + calibration-aware gate,0.5,raw + isotonic,1,,0.0,5,87.2,53.8581470160272,44.2,130.0,0.008346810155298489,0.004889529162344885,0.00426777899285489,0.011928429573493783,15.015442315301565,8.796511011882549,7.676326945904696,21.458775648634898,5.70085862868125,5.794150968459711,1.7883839240291675,10.736666666666668,0.5856655778585603,0.3372965461257024,0.2912222222222222,0.822809388335704,0.14426543608080258,0.13457796413427778,0.046759818904155134,0.24411186592641126,1.0,0.0,1.0,1.0,4.79328924311797,2.95012011677589,2.5265784862359393,7.086622576451303,3.519810638177605,2.8293667034309267,1.399621276355209,5.843333333333334,4.4,0.8944271909999159,4.0,5.2,0.9333333333333332,0.149071198499986,0.7999999999999999,1.0,0.6,0.8944271909999159,0.0,1.4,31.3,60.56979445235059,-14.2,78.3
within_subject_chronological,random_forest,Random forest,Full governed policy,0.5,isotonic,2,0.4,0.0,5,62.4,48.433459508897364,26.6,102.4,0.0058633172674301915,0.00439102348592838,0.0027115662946675468,0.009623865110246432,10.547771748346616,7.899581956605447,4.877771748346616,17.313333333333333,2.267714657170313,2.9964548653922867,0.28876264767395854,4.9810479905036456,0.7587442246050736,0.4122720595434426,0.3805440464048954,0.9739166493883473,0.12652295002697217,0.12404204645745787,0.03411913985780054,0.22250609309108543,1.0,0.0,1.0,1.0,2.2608586286812504,1.5830044173326518,1.0656691962014584,3.444191962014583,1.2877146571703124,1.2832157536440916,0.28876264767395854,2.2866666666666666,5.6,1.6733200530681511,4.4,6.8,0.8666666666666668,0.2981423969999719,0.6,1.0,0.4,0.5477225575051662,0.0,0.8,4.7,55.92137337369317,-31.2,54.7
