evaluation_mode,fold_id,fold_subject_id,test_hours,model,policy,seizure_events,events_with_authorization,pre_onset_authorizations,event_level_sensitivity,median_latency_seconds,iqr_latency_seconds,false_authorization_windows_per_hour
within_subject_chronological,within_chb01,chb01,6.552222222222222,lightgbm,Fixed threshold,2,2,2,1.0,-298.5,1.5,80.12548753603527
within_subject_chronological,within_chb01,chb01,6.552222222222222,lightgbm,Temporal persistence,2,2,2,1.0,-294.5,5.5,32.81329489570968
within_subject_chronological,within_chb01,chb01,6.552222222222222,lightgbm,Attribution-stability gating,2,2,2,1.0,-294.5,5.5,30.829235204341188
within_subject_chronological,within_chb02,chb02,4.0,lightgbm,Fixed threshold,1,1,1,1.0,-203.0,,138.0
within_subject_chronological,within_chb02,chb02,4.0,lightgbm,Temporal persistence,1,1,0,1.0,3.0,,37.75
within_subject_chronological,within_chb02,chb02,4.0,lightgbm,Attribution-stability gating,1,1,0,1.0,3.0,,34.5
within_subject_chronological,within_chb03,chb03,5.0,lightgbm,Fixed threshold,3,3,3,1.0,-85.0,40.0,161.4
within_subject_chronological,within_chb03,chb03,5.0,lightgbm,Temporal persistence,3,3,1,1.0,2.0,60.5,101.2
within_subject_chronological,within_chb03,chb03,5.0,lightgbm,Attribution-stability gating,3,3,1,1.0,2.0,60.5,100.6
within_subject_chronological,within_chb05,chb05,6.0,lightgbm,Fixed threshold,3,3,3,1.0,-291.0,15.5,152.83333333333334
within_subject_chronological,within_chb05,chb05,6.0,lightgbm,Temporal persistence,3,3,2,1.0,-191.0,154.5,61.0
within_subject_chronological,within_chb05,chb05,6.0,lightgbm,Attribution-stability gating,3,3,2,1.0,-191.0,154.5,53.333333333333336
within_subject_chronological,within_chb08,chb08,6.0,lightgbm,Fixed threshold,1,1,1,1.0,-293.0,,87.33333333333333
within_subject_chronological,within_chb08,chb08,6.0,lightgbm,Temporal persistence,1,1,1,1.0,-291.0,,34.0
within_subject_chronological,within_chb08,chb08,6.0,lightgbm,Attribution-stability gating,1,1,1,1.0,-291.0,,34.0
held_out_subject,loso_chb01,chb01,18.552222222222223,lightgbm,Fixed threshold,7,7,6,1.0,-282.0,21.5,242.7741510450979
held_out_subject,loso_chb01,chb01,18.552222222222223,lightgbm,Temporal persistence,7,7,4,1.0,-3.0,286.0,111.63083188596754
held_out_subject,loso_chb01,chb01,18.552222222222223,lightgbm,Attribution-stability gating,7,7,4,1.0,-1.0,286.0,105.21650595915432
held_out_subject,loso_chb02,chb02,8.266388888888889,lightgbm,Fixed threshold,3,3,3,1.0,-207.0,76.0,374.77065761618337
held_out_subject,loso_chb02,chb02,8.266388888888889,lightgbm,Temporal persistence,3,3,3,1.0,-199.0,76.0,263.3556235088545
held_out_subject,loso_chb02,chb02,8.266388888888889,lightgbm,Attribution-stability gating,3,3,3,1.0,-199.0,76.0,255.4924560637118
held_out_subject,loso_chb03,chb03,13.0,lightgbm,Fixed threshold,7,7,3,1.0,2.0,199.5,119.07692307692308
held_out_subject,loso_chb03,chb03,13.0,lightgbm,Temporal persistence,7,7,3,1.0,8.0,124.5,52.92307692307692
held_out_subject,loso_chb03,chb03,13.0,lightgbm,Attribution-stability gating,7,7,3,1.0,8.0,124.5,49.84615384615385
held_out_subject,loso_chb05,chb05,14.002777777777778,lightgbm,Fixed threshold,5,5,5,1.0,-299.0,3.0,360.928387224757
held_out_subject,loso_chb05,chb05,14.002777777777778,lightgbm,Temporal persistence,5,5,5,1.0,-299.0,5.0,269.58936718904977
held_out_subject,loso_chb05,chb05,14.002777777777778,lightgbm,Attribution-stability gating,5,5,5,1.0,-298.0,6.0,255.94921642531244
held_out_subject,loso_chb08,chb08,14.0,lightgbm,Fixed threshold,5,5,5,1.0,-208.0,100.0,174.64285714285714
held_out_subject,loso_chb08,chb08,14.0,lightgbm,Temporal persistence,5,5,5,1.0,-206.0,100.0,75.71428571428571
held_out_subject,loso_chb08,chb08,14.0,lightgbm,Attribution-stability gating,5,5,5,1.0,-206.0,100.0,66.85714285714286
