subject_id,evaluation_mode,fold_id,model,rank,feature,importance_score
chb01,within_subject_chronological,within_chb01,logistic_regression,1,rel_bp_gamma,4.359398441650553
chb01,within_subject_chronological,within_chb01,logistic_regression,2,rel_bp_delta,3.257700178451282
chb01,within_subject_chronological,within_chb01,logistic_regression,3,bp_gamma,2.987871095443088
chb01,within_subject_chronological,within_chb01,logistic_regression,4,rms_amplitude,2.1323424486005367
chb01,within_subject_chronological,within_chb01,logistic_regression,5,rel_bp_theta,1.956708091865165
chb01,within_subject_chronological,within_chb01,logistic_regression,6,spectral_entropy,1.9351842201481853
chb01,within_subject_chronological,within_chb01,logistic_regression,7,bp_theta,1.7027119781905298
chb01,within_subject_chronological,within_chb01,logistic_regression,8,bp_beta,1.6859538940192962
chb01,within_subject_chronological,within_chb01,logistic_regression,9,zero_crossing_rate,1.5655012878167194
chb01,within_subject_chronological,within_chb01,logistic_regression,10,hjorth_mobility,1.4757340988650018
chb01,within_subject_chronological,within_chb01,logistic_regression,11,variance,1.2336405828377075
chb01,within_subject_chronological,within_chb01,logistic_regression,12,hjorth_activity,1.2336405828377075
chb01,within_subject_chronological,within_chb01,logistic_regression,13,line_length,0.8853999372406767
chb01,within_subject_chronological,within_chb01,logistic_regression,14,bp_delta,0.7500562081712033
chb01,within_subject_chronological,within_chb01,logistic_regression,15,bp_alpha,0.6695400731427312
chb01,within_subject_chronological,within_chb01,random_forest,1,zero_crossing_rate,0.10231198060003201
chb01,within_subject_chronological,within_chb01,random_forest,2,line_length,0.08829911516815746
chb01,within_subject_chronological,within_chb01,random_forest,3,bp_alpha,0.08017106112121697
chb01,within_subject_chronological,within_chb01,random_forest,4,hjorth_mobility,0.0775122732583101
chb01,within_subject_chronological,within_chb01,random_forest,5,bp_gamma,0.07670086785523147
chb01,within_subject_chronological,within_chb01,random_forest,6,rel_bp_gamma,0.07477881301025614
chb01,within_subject_chronological,within_chb01,random_forest,7,rel_bp_alpha,0.052803017807695016
chb01,within_subject_chronological,within_chb01,random_forest,8,rel_bp_beta,0.05112723556162784
chb01,within_subject_chronological,within_chb01,random_forest,9,bp_theta,0.04361847144021464
chb01,within_subject_chronological,within_chb01,random_forest,10,rel_bp_delta,0.04265515171891611
chb01,within_subject_chronological,within_chb01,random_forest,11,bp_beta,0.041270838665953255
chb01,within_subject_chronological,within_chb01,random_forest,12,hjorth_complexity,0.04035945228877391
chb01,within_subject_chronological,within_chb01,random_forest,13,rms_amplitude,0.03397946302974939
chb01,within_subject_chronological,within_chb01,random_forest,14,rel_bp_theta,0.03224496904146515
chb01,within_subject_chronological,within_chb01,random_forest,15,kurtosis,0.03172852375289069
chb01,within_subject_chronological,within_chb01,lightgbm,1,line_length,395.0
chb01,within_subject_chronological,within_chb01,lightgbm,2,bp_gamma,303.0
chb01,within_subject_chronological,within_chb01,lightgbm,3,hjorth_mobility,236.0
chb01,within_subject_chronological,within_chb01,lightgbm,4,hjorth_complexity,212.0
chb01,within_subject_chronological,within_chb01,lightgbm,5,rel_bp_beta,211.0
chb01,within_subject_chronological,within_chb01,lightgbm,6,bp_alpha,180.0
chb01,within_subject_chronological,within_chb01,lightgbm,7,rel_bp_alpha,174.0
chb01,within_subject_chronological,within_chb01,lightgbm,8,kurtosis,173.0
